id,State_Code,State_Name,State_ab,County,City,Place,Type,Primary,Zip_Code,Area_Code,ALand,AWater,Lat,Lon,Mean,Median,Stdev,Households
12011249,12,Florida,FL,Citrus County,Hernando,Black Diamond,CDP,place,34442,352,10211219,0,28.906712,-82.494616,140231.210703993,149522,132379.635119095+0i,419
12011251,12,Florida,FL,Hillsborough County,Valrico,Bloomingdale,CDP,place,33596,813,21067786,644387,27.876716,-82.261418,151339.437740123,138533,156640.175843084+0i,7899
12011253,12,Florida,FL,Palm Beach County,Boca Raton,Boca Raton city,City,place,33431,561,75943092,5106264,26.37269,-80.103711,189254.462015025,213050,195543.518554857+0i,37224
12011255,12,Florida,FL,Holmes County,Bonifay,Bonifay city,City,place,32425,850,10563554,186342,30.781241,-85.688986,74037.6856719309,61587,89573.3842953414+0i,957
12011257,12,Florida,FL,Broward County,Lauderhill,Boulevard Gardens,CDP,place,33311,754,649958,0,26.125169,-80.182205,67459.3343820785,300000,62703.3045214976+0i,495
12011259,12,Florida,FL,Palm Beach County,Boynton Beach,Boynton Beach city,City,place,33435,561,41932052,854911,26.528327,-80.080734,113381.027743056,93531,125083.563853242+0i,28989
12011261,12,Florida,FL,Manatee County,Holmes Beach,Bradenton Beach city,City,place,34217,941,1340411,1741474,27.461791,-82.69649,122343.229445168,89527,143900.836181975+0i,553
12011263,12,Florida,FL,Hillsborough County,Brandon,Brandon,CDP,place,33510,813,85738633,4903052,27.935985,-82.299255,111797.993528752,93405,119672.43801057+0i,40453
12011265,12,Florida,FL,Escambia County,Pensacola,Brent,CDP,place,32505,850,26873959,428444,30.471891,-87.250693,69480.9518620637,65060,74345.1513316778+0i,6824
12011267,12,Florida,FL,Liberty County,Bristol,Bristol city,City,place,32321,850,4264673,0,30.425515,-84.977316,90558.8856099437,78625,101201.346513198+0i,363
12011269,12,Florida,FL,Levy County,Bronson,Bronson,Town,place,32621,352,10903350,230946,29.449109,-82.638474,73279.427500405,62167,94192.5729084568+0i,382
12011271,12,Florida,FL,Hernando County,Brooksville,Brookridge,CDP,place,34613,352,6561422,4768,28.548069,-82.489958,59957.8793228325,61095,55267.3538665051+0i,2305
12011273,12,Florida,FL,Santa Rosa County,Jay,Brownsdale,CDP,place,32565,850,22532719,498117,30.894151,-87.21502,99886.6438043543,300000,94526.377784534+0i,202
12011275,12,Florida,FL,Glades County,Okeechobee,Buckhead Ridge,CDP,place,34974,863,3629093,288248,27.132544,-80.885148,49489.9420037529,50979,31919.5826575251+0i,639
